코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A115390	락앤락	종이 및 용기	KS	115390
A092440	기신정기	기계	KS	92440
A005960	동부건설	건설 및 건축자재	KS	5960
A015590	큐로	기계	KS	15590
A288330	브릿지바이오테라퓨틱스	제약 및 바이오	KQ	288330
A308170	센트랄모텍	자동차 및 관련부품	KS	308170
A092870	엑시콘	반도체 관련장비 및 부품	KQ	92870
A100840	SNT에너지	기계	KS	100840
A004540	깨끗한나라	종이 및 용기	KS	4540
A126340	비나텍	전기 및 전자기기	KQ	126340
A053300	한국정보인증	IT서비스	KQ	53300
A003240	태광산업	섬유 및 의류	KS	3240
A347000	센코	전기 및 전자기기	KQ	347000
A002630	오리엔트바이오	제약 및 바이오	KS	2630
A389030	지니너스	제약 및 바이오	KQ	389030
A040910	아이씨디	디스플레이 장비 및 부품	KQ	40910
A131220	대한과학	의료기기 및 용품	KQ	131220
A204630	스튜디오산타클로스	미디어 및 엔터	KQ	204630
A007980	태평양물산	섬유 및 의류	KS	7980
A068940	아이씨케이	전기 및 전자기기	KQ	68940
A004270	남성	전기 및 전자기기	KS	4270
A900340	윙입푸드	식음료	KQ	900340
A042370	비츠로테크	기계	KQ	42370
A001020	페이퍼코리아	종이 및 용기	KS	1020
A035000	지투알	지주사	KS	35000
A005430	한국공항	운송 및 물류	KS	5430
A071840	롯데하이마트	유통	KS	71840
A082800	비보존 헬스케어	전기 및 전자기기	KQ	82800
A372800	아이티아이즈	IT서비스	KQ	372800
A070960	용평리조트	레저산업	KS	70960
A080580	오킨스전자	반도체 관련장비 및 부품	KQ	80580
A060310	3S	반도체 관련장비 및 부품	KQ	60310
A095910	에스에너지	에너지	KQ	95910
A035890	서희건설	건설 및 건축자재	KQ	35890
A045970	코아시아	IT 장비 및 소재	KQ	45970
A006050	국영지앤엠	건설 및 건축자재	KQ	6050
A222810	마이더스AI	IT서비스	KQ	222810
A092730	네오팜	가정용품	KQ	92730
A280360	롯데제과	식음료	KS	280360
A096690	에이루트	전기 및 전자기기	KQ	96690
A052260	현대바이오랜드	가정용품	KQ	52260
A014580	태경비케이	철강 및 비철강	KS	14580
A002450	삼익악기	레저산업	KS	2450
A264450	유비쿼스	통신	KQ	264450
A340360	다보링크	IT서비스	KQ	340360
A072770	율호	IT서비스	KQ	72770
A267980	매일유업	식음료	KQ	267980
A052330	코텍	레저산업	KQ	52330
A061040	알에프텍	IT 장비 및 소재	KQ	61040
A023800	인지컨트롤스	자동차 및 관련부품	KS	23800
A035620	바른손이앤에이	미디어 및 엔터	KQ	35620
A027580	상보	디스플레이 장비 및 부품	KQ	27580
A031820	콤텍시스템	IT서비스	KS	31820
A000670	영풍	철강 및 비철강	KS	670
A094970	제이엠티	디스플레이 장비 및 부품	KQ	94970
A026940	부국철강	철강 및 비철강	KS	26940
A950170	JTC	유통	KQ	950170
A036890	진성티이씨	기계	KQ	36890
A009470	삼화전기	IT 장비 및 소재	KS	9470
A234080	JW생명과학	제약 및 바이오	KS	234080
A068400	SK렌터카	레저산업	KS	68400
A006380	카프로	섬유 및 의류	KS	6380
A012610	경인양행	섬유 및 의류	KS	12610
A068050	팬엔터테인먼트	미디어 및 엔터	KQ	68050
A001200	유진투자증권	금융	KS	1200
